Seq,Stamp,TimeUS,Roll,Pitch,Yaw,Alt,Lat,Lng,C1_Roll,C2_Pitch,C3_Throttle
6875,17:39.9,185317784,1.77,-0.73,64.59,-12.51,22.5556009,88.3082896,1500,1500,1344
6914,17:39.9,185358942,2.27,0,62.74,-12.51,22.5556009,88.3082896,1500,1500,1341
6948,17:39.9,185396675,2.29,2.8,61.6,-12.51,22.5556009,88.3082896,1500,1500,1340
6982,17:40.0,185436371,1.72,4.11,61.08,-12.51,22.5556009,88.3082896,1500,1500,1341
7023,17:40.0,185478222,1.01,5.92,61.04,-12.51,22.5556009,88.3082896,1500,1500,1352
7057,17:40.1,185517510,0.17,7.87,61.41,-12.55,22.5556008,88.3082916,1500,1500,1360
7097,17:40.1,185559015,-0.33,7.54,61.67,-12.55,22.5556008,88.3082916,1500,1500,1372
7132,17:40.1,185596673,-1,5.9,61.57,-12.55,22.5556008,88.3082916,1500,1500,1381
7166,17:40.2,185636629,-0.96,4.56,60.9,-12.55,22.5556008,88.3082916,1500,1500,1391
7207,17:40.2,185678823,-0.83,2.15,59.67,-12.55,22.5556008,88.3082916,1500,1500,1408
7242,17:40.3,185717967,0.08,0.75,57.81,-13.01,22.5556013,88.3082942,1500,1500,1419
7282,17:40.3,185758964,0.85,2.44,56.03,-13.01,22.5556013,88.3082942,1500,1500,1428
7317,17:40.3,185796942,0.38,3.8,54.97,-13.01,22.5556013,88.3082942,1500,1500,1436
7355,17:40.4,185836924,-0.42,4.74,54.64,-13.01,22.5556013,88.3082942,1500,1500,1439
7396,17:40.4,185877954,-1.18,6.2,55.13,-13.01,22.5556013,88.3082942,1500,1500,1450
7430,17:40.5,185917677,-1.74,6.76,55.96,-13.53,22.555602,88.3082969,1500,1500,1482
7468,17:40.5,185958852,-1.5,6.17,56.52,-13.53,22.555602,88.3082969,1500,1500,1488
7503,17:40.5,185996634,-0.62,5.17,56.21,-13.53,22.555602,88.3082969,1500,1500,1467
7537,17:40.6,186036409,0.42,3.11,55.34,-13.53,22.555602,88.3082969,1500,1500,1466
7578,17:40.6,186078023,2.04,2.33,53.53,-13.53,22.555602,88.3082969,1500,1500,1466
7612,17:40.7,186117782,2.16,4.75,52.06,-13.08,22.5556027,88.3082981,1500,1500,1466
7651,17:40.7,186158885,1.74,6.38,51.2,-13.08,22.5556027,88.3082981,1500,1500,1467
7686,17:40.7,186196641,1.18,8.46,51.03,-13.08,22.5556027,88.3082981,1500,1500,1469
7721,17:40.8,186236782,0.64,10.67,51.16,-13.08,22.5556027,88.3082981,1500,1500,1469
7762,17:40.8,186277992,0.54,10.69,51.09,-13.08,22.5556027,88.3082981,1500,1500,1467
7796,17:40.9,186317745,0.35,9.11,50.51,-12.91,22.555603,88.3083004,1500,1500,1469
7836,17:40.9,186359028,0.94,7.36,49.36,-12.91,22.555603,88.3083004,1500,1500,1469
7871,17:40.9,186396308,2.79,5.75,47.11,-12.91,22.555603,88.3083004,1500,1500,1470
7905,17:41.0,186436675,3.79,6.82,44.82,-12.91,22.555603,88.3083004,1500,1500,1470
7946,17:41.0,186478492,1.28,7.33,42.97,-12.3,22.5556044,88.3083026,1500,1500,1469
7980,17:41.1,186517275,0.07,8.04,42.05,-12.3,22.5556044,88.3083026,1500,1500,1498
8019,17:41.1,186557793,-0.84,9.55,41.73,-12.3,22.5556044,88.3083026,1500,1500,1514
8054,17:41.1,186596589,-0.99,9.84,41.37,-12.3,22.5556044,88.3083026,1500,1500,1504
8088,17:41.2,186636480,-1.83,8.2,41.26,-12.3,22.5556044,88.3083026,1500,1500,1529
8128,17:41.2,186678871,-1.36,5.85,40.71,-11.02,22.5556083,88.3083055,1500,1500,1543
8164,17:41.3,186717833,0.8,3.95,39.64,-11.02,22.5556083,88.3083055,1500,1500,1543
8202,17:41.3,186757865,2.04,5.12,38.49,-11.02,22.5556083,88.3083055,1500,1500,1534
8237,17:41.3,186797322,0.4,5.68,37.61,-11.02,22.5556083,88.3083055,1500,1500,1533
8273,17:41.4,186836934,-1.48,4.6,37.29,-11.02,22.5556083,88.3083055,1500,1500,1540
8316,17:41.4,186878982,-2.3,5.43,37.47,-10.68,22.5556125,88.3083113,1500,1500,1564
